DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
CANUTO (130352),CANUTO (130352),CANUTO
TELIMBELA (020355),TELIMBELA (020355),TELIMBELA
CAPIRO (CAB. EN LA CAPILLA DE CAPIRO) (071051),CAPIRO (CAB. EN LA CAPILLA DE CAPIRO) (071051),CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)
EL TAMBO (110351),EL TAMBO (110351),EL TAMBO
SAYAUSI (010165),SAYAUSI (010165),SAYAUSI
SANTA CECILIA (210158),SANTA CECILIA (210158),SANTA CECILIA
IGNACIO FLORES (050102),IGNACIO FLORES (050102),IGNACIO FLORES
ELOY ALFARO (091002),ELOY ALFARO (091002),ELOY ALFARO
LA LIBERTAD (ALIZO) (040352),LA LIBERTAD (ALIZO) (040352),LA LIBERTAD (ALIZO)
SANTA ROSA (RURAL) (071250),SANTA ROSA (RURAL) (071250),SANTA ROSA (RURAL)
NUEVO PARAISO (190352),NUEVO PARAISO (190352),NUEVO PARAISO
GUANGAJE (050453),GUANGAJE (050453),GUANGAJE
ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS) (900500),ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS) (900500),ZONA EN ESTUDIO: SANTA ROSA DE AGUA CLARA (BOLIVAR- GUAYAS)
BOCANA (091901),BOCANA (091901),BOCANA
ZAMBIZA (170186),ZAMBIZA (170186),ZAMBIZA
PUERTO VILLAMIL (200250),PUERTO VILLAMIL (200250),PUERTO VILLAMIL
MARIANO MORENO (010354),MARIANO MORENO (010354),MARIANO MORENO
LUIS CORDERO (030155),LUIS CORDERO (030155),LUIS CORDERO
CARONDELET (080554),CARONDELET (080554),CARONDELET
LIMONAL (090654),LIMONAL (090654),LIMONAL
VELASCO (060103),VELASCO (060103),VELASCO
QUINSALOMA (121350),QUINSALOMA (121350),QUINSALOMA
SAN ROQUE (AMBROSIO MALDONADO) (071055),SAN ROQUE (AMBROSIO MALDONADO) (071055),SAN ROQUE (AMBROSIO MALDONADO)
EUGENIO ESPEJO (CALPAQUI) (100452),EUGENIO ESPEJO (CALPAQUI) (100452),EUGENIO ESPEJO (CALPAQUI)
LUMBAQUI (210253),LUMBAQUI (210253),LUMBAQUI
BENITEZ (PACHANLICA) (180751),BENITEZ (PACHANLICA) (180751),BENITEZ (PACHANLICA)
SAN JOSE DE CAYAPAS (080263),SAN JOSE DE CAYAPAS (080263),SAN JOSE DE CAYAPAS
CATACOCHA (RURAL) (110950),CATACOCHA (RURAL) (110950),CATACOCHA (RURAL)
LUIS CORDERO VEGA (010359),LUIS CORDERO VEGA (010359),LUIS CORDERO VEGA
ANTONIO JOSE HOLGUIN (SANTA LUCIA) (050551),ANTONIO JOSE HOLGUIN (SANTA LUCIA) (050551),ANTONIO JOSE HOLGUIN (SANTA LUCIA)
SANTO DOMINGO DE LOS COLORADOS (URBANO) (230106),SANTO DOMINGO DE LOS COLORADOS (URBANO) (230106),SANTO DOMINGO DE LOS COLORADOS (URBANO)
*SAN VICENTE (131458),*SAN VICENTE (131458),*SAN VICENTE (131458)
BORRERO (030103),BORRERO (030103),BORRERO
*10 DE AGOSTO (131454),*10 DE AGOSTO (131454),*10 DE AGOSTO (131454)
MALVAS (071356),MALVAS (071356),MALVAS
MANGLARALTO (240154),MANGLARALTO (240154),MANGLARALTO
PIMOCHA (120154),PIMOCHA (120154),PIMOCHA
BOLIVAR (090102),BOLIVAR (090102),BOLIVAR
LAUREL (090653),LAUREL (090653),LAUREL
TARQUI (010168),TARQUI (010168),TARQUI
SAN JACINTO DE YAGUACHI (092050),SAN JACINTO DE YAGUACHI (092050),SAN JACINTO DE YAGUACHI
GUALLETURO (030354),GUALLETURO (030354),GUALLETURO
QUINARA (110163),QUINARA (110163),QUINARA
FEBRES CORDERO (LAS JUNTAS) (120153),FEBRES CORDERO (LAS JUNTAS) (120153),FEBRES CORDERO (LAS JUNTAS)
ALLURIQUIN (230151),ALLURIQUIN (230151),ALLURIQUIN
PUELLARO (170178),PUELLARO (170178),PUELLARO
SAN GERARDO (010252),SAN GERARDO (010252),SAN GERARDO
BALAO (090350),BALAO (090350),BALAO
NUEVO QUITO (190952),NUEVO QUITO (190952),NUEVO QUITO
OCTAVIO CORDERO PALACIOS (STA. ROSA) (010159),OCTAVIO CORDERO PALACIOS (STA. ROSA) (010159),OCTAVIO CORDERO PALACIOS (STA. ROSA)
SAN PABLO (CAB EN PUEBLO NUEVO) (131355),SAN PABLO (CAB EN PUEBLO NUEVO) (131355),SAN PABLO (CAB EN PUEBLO NUEVO)
HUAYNA CAPAC (010107),HUAYNA CAPAC (010107),HUAYNA CAPAC
PIFO (170175),PIFO (170175),PIFO
NOBOA (131652),NOBOA (131652),NOBOA
ZUMBI (190750),ZUMBI (190750),ZUMBI
DURENO (210152),DURENO (210152),DURENO
CONVENTO (130353),CONVENTO (130353),CONVENTO
ATAHUALPA (CHISALATA) (180152),ATAHUALPA (CHISALATA) (180152),ATAHUALPA (CHISALATA)
SOLANDA (170131),SOLANDA (170131),SOLANDA
JULIO E. MORENO (CATANAHUAN GRANDE) (020153),JULIO E. MORENO (CATANAHUAN GRANDE) (020153),JULIO E. MORENO (CATANAHUAN GRANDE)
PACHICUTZA (190652),PACHICUTZA (190652),PACHICUTZA
GUARANDA (020150),GUARANDA (020150),GUARANDA
OLMEDO (111650),OLMEDO (111650),OLMEDO
VALLE (110104),VALLE (110104),VALLE
ABAÑIN (071351),ABAÑIN (071351),ABAÑIN
*CHAQUINAL (110452),*CHAQUINAL (110452),*CHAQUINAL (110452)
SAN ANTONIO (071254),SAN ANTONIO (071254),SAN ANTONIO
11 DE NOVIEMBRE (ILINCHISI) (050157),11 DE NOVIEMBRE (ILINCHISI) (050157),11 DE NOVIEMBRE (ILINCHISI)
CAMILO PONCE (120102),CAMILO PONCE (120102),CAMILO PONCE
EL PARAISO DE CELEN (111151),EL PARAISO DE CELEN (111151),EL PARAISO DE CELEN
FERNANDEZ SALVADOR (040553),FERNANDEZ SALVADOR (040553),FERNANDEZ SALVADOR
*PAQUISHA (190154),*PAQUISHA (190154),*PAQUISHA (190154)
RIO TOACHI (230104),RIO TOACHI (230104),RIO TOACHI
