DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
PAPALLACTA (150753),PAPALLACTA (150753),PAPALLACTA
NUEVO PARAISO (CAB. EN UNION ) (220159),NUEVO PARAISO (CAB. EN UNION ) (220159),NUEVO PARAISO (CAB. EN UNION )
SANTA CLARA (090607),SANTA CLARA (090607),SANTA CLARA
ZHIDMAD (010358),ZHIDMAD (010358),ZHIDMAD
SAN SEBASTIAN DE YULUC (111157),SAN SEBASTIAN DE YULUC (111157),SAN SEBASTIAN DE YULUC
EL GOALTAL (040351),EL GOALTAL (040351),EL GOALTAL
SUA (CAB. EN LA BOCANA) (080652),SUA (CAB. EN LA BOCANA) (080652),SUA (CAB. EN LA BOCANA)
SAN SEBASTIAN (110102),SAN SEBASTIAN (110102),SAN SEBASTIAN
EL CHAUPI (170354),EL CHAUPI (170354),EL CHAUPI
ARCAPAMBA (071352),ARCAPAMBA (071352),ARCAPAMBA
PAJAN (131050),PAJAN (131050),PAJAN
JUNQUILLAL (091953),JUNQUILLAL (091953),JUNQUILLAL
LA DOLOROSA DEL PRIORATO (100105),LA DOLOROSA DEL PRIORATO (100105),LA DOLOROSA DEL PRIORATO
LITA (100155),LITA (100155),LITA
CARLOS JULIO AROSEMENA TOLA (150950),CARLOS JULIO AROSEMENA TOLA (150950),CARLOS JULIO AROSEMENA TOLA
REGULO DE MORA (020553),REGULO DE MORA (020553),REGULO DE MORA
SANTIAGO (140555),SANTIAGO (140555),SANTIAGO
SAN LORENZO DE JIPIJAPA (130603),SAN LORENZO DE JIPIJAPA (130603),SAN LORENZO DE JIPIJAPA
SAN JUAN DE ILUMAN (100456),SAN JUAN DE ILUMAN (100456),SAN JUAN DE ILUMAN
ZHAGLLI (SHAGLLI ) (010853),ZHAGLLI (SHAGLLI ) (010853),ZHAGLLI (SHAGLLI )
TUFIÑO (040157),TUFIÑO (040157),TUFIÑO
SAN ANTONIO DE QUMBE (CUMBE) (111155),SAN ANTONIO DE QUMBE (CUMBE) (111155),SAN ANTONIO DE QUMBE (CUMBE)
PIARTAL (040555),PIARTAL (040555),PIARTAL
MILTON REYES (070704),MILTON REYES (070704),MILTON REYES
NUEVO ROCAFUERTE (220250),NUEVO ROCAFUERTE (220250),NUEVO ROCAFUERTE
PABLO SEXTO (141150),PABLO SEXTO (141150),PABLO SEXTO
*CALUMA (020352),*CALUMA (020352),*CALUMA (020352)
AVILA (CAB. EN HUIRUNO) (220451),AVILA (CAB. EN HUIRUNO) (220451),AVILA (CAB. EN HUIRUNO)
GIMA (010952),GIMA (010952),GIMA
EL ROSARIO (140255),EL ROSARIO (140255),EL ROSARIO
PRINCIPAL (011151),PRINCIPAL (011151),PRINCIPAL
*OLMEDO (SANTA BÁRBARA) (110955),*OLMEDO (SANTA BÁRBARA) (110955),*OLMEDO (SANTA BÁRBARA) (110955)
VICENTE ROCAFUERTE (240303),VICENTE ROCAFUERTE (240303),VICENTE ROCAFUERTE
SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER) (080558),SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER) (080558),SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER)
CAZADEROS (111356),CAZADEROS (111356),CAZADEROS
SOZORANGA (111250),SOZORANGA (111250),SOZORANGA
PUERTO PECHICHE (120451),PUERTO PECHICHE (120451),PUERTO PECHICHE
YANTZAZA (YANZATZA) (190550),YANTZAZA (YANZATZA) (190550),YANTZAZA (YANZATZA)
SAN CARLOS DE LIMON (140852),SAN CARLOS DE LIMON (140852),SAN CARLOS DE LIMON
VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA) (160165),VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA) (160165),VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)
SANGOLQUI (RURAL) (170550),SANGOLQUI (RURAL) (170550),SANGOLQUI (RURAL)
EL RETIRO (070152),EL RETIRO (070152),EL RETIRO
PASCUALES (090115),PASCUALES (090115),PASCUALES
GENERAL ANTONIO ELIZALDE (BUCAY) (092750),GENERAL ANTONIO ELIZALDE (BUCAY) (092750),GENERAL ANTONIO ELIZALDE (BUCAY)
OLMEDO (090108),OLMEDO (090108),OLMEDO
CHUGCHILLAN (050751),CHUGCHILLAN (050751),CHUGCHILLAN
*PALENQUE (120852),*PALENQUE (120852),*PALENQUE (120852)
SAN RAFAEL (170503),SAN RAFAEL (170503),SAN RAFAEL
COTUNDO (150352),COTUNDO (150352),COTUNDO
CALDERON (080553),CALDERON (080553),CALDERON
SANTA MARIANITA DE JESUS (140655),SANTA MARIANITA DE JESUS (140655),SANTA MARIANITA DE JESUS
COCHAPATA (010451),COCHAPATA (010451),COCHAPATA
TOBAR DONOSO (LA BOCANA DE CAMUMBI) (040156),TOBAR DONOSO (LA BOCANA DE CAMUMBI) (040156),TOBAR DONOSO (LA BOCANA DE CAMUMBI)
MATUS (060952),MATUS (060952),MATUS
SAN CRISTOBAL (120506),SAN CRISTOBAL (120506),SAN CRISTOBAL
*MARISCAL SUCRE (040160),*MARISCAL SUCRE (040160),*MARISCAL SUCRE (040160)
PUMPUENTSA (140954),PUMPUENTSA (140954),PUMPUENTSA
GUAYAS (PUEBLO NUEVO) (090851),GUAYAS (PUEBLO NUEVO) (090851),GUAYAS (PUEBLO NUEVO)
VENTANAS (RURAL) (120750),VENTANAS (RURAL) (120750),VENTANAS (RURAL)
*SIMÓN BOLÍVAR (092054),*SIMÓN BOLÍVAR (092054),*SIMÓN BOLÍVAR (092054)
LAURO GUERRERO (110954),LAURO GUERRERO (110954),LAURO GUERRERO
EL REVENTADOR (210251),EL REVENTADOR (210251),EL REVENTADOR
SANTA RUFINA (110553),SANTA RUFINA (110553),SANTA RUFINA
CAMPOZANO (LA PALMA DE PAJAN) (131051),CAMPOZANO (LA PALMA DE PAJAN) (131051),CAMPOZANO (LA PALMA DE PAJAN)
EL CARMEN DE PIJILI (010852),EL CARMEN DE PIJILI (010852),EL CARMEN DE PIJILI
*CURARAY (160153),*CURARAY (160153),*CURARAY (160153)
LUIS GALARZA ORELLANA (CAB. EN DELEGSOL) (011153),LUIS GALARZA ORELLANA (CAB. EN DELEGSOL) (011153),LUIS GALARZA ORELLANA (CAB. EN DELEGSOL)
TUTUPALI (190452),TUTUPALI (190452),TUTUPALI
SUMACO (150756),SUMACO (150756),SUMACO
MARIANO ACOSTA (100552),MARIANO ACOSTA (100552),MARIANO ACOSTA
CHIMBACALLE (170109),CHIMBACALLE (170109),CHIMBACALLE
JAMA (132050),JAMA (132050),JAMA
TULCAN (RURAL) (040150),TULCAN (RURAL) (040150),TULCAN (RURAL)
PUCAYACU (050252),PUCAYACU (050252),PUCAYACU
PIMAMPIRO (100550),PIMAMPIRO (100550),PIMAMPIRO
TARAPOA (210750),TARAPOA (210750),TARAPOA
YARUQUI (170185),YARUQUI (170185),YARUQUI
SAN LUIS DE ARMENIA (220161),SAN LUIS DE ARMENIA (220161),SAN LUIS DE ARMENIA
POZUL (SAN JUAN DE POZUL) (110455),POZUL (SAN JUAN DE POZUL) (110455),POZUL (SAN JUAN DE POZUL)
URDANETA (PAQUISHAPA) (111159),URDANETA (PAQUISHAPA) (111159),URDANETA (PAQUISHAPA)
SAN JOSE DEL CHAZO (060757),SAN JOSE DEL CHAZO (060757),SAN JOSE DEL CHAZO
EL QUINCHE (170160),EL QUINCHE (170160),EL QUINCHE
JOSEGUANGO BAJO (050154),JOSEGUANGO BAJO (050154),JOSEGUANGO BAJO
SAN MIGUELITO (180857),SAN MIGUELITO (180857),SAN MIGUELITO
MANGAHURCO (111351),MANGAHURCO (111351),MANGAHURCO
DIVINO NIÑO (090703),DIVINO NIÑO (090703),DIVINO NIÑO
HUACA (040650),HUACA (040650),HUACA
CASACAY (070952),CASACAY (070952),CASACAY
DR. MIGUEL MORAN LUCIO (130601),DR. MIGUEL MORAN LUCIO (130601),DR. MIGUEL MORAN LUCIO
TOCACHI (170453),TOCACHI (170453),TOCACHI
UNION MILAGREÑA (220358),UNION MILAGREÑA (220358),UNION MILAGREÑA
LA PUNTILLA (SATELITE) (091602),LA PUNTILLA (SATELITE) (091602),LA PUNTILLA (SATELITE)
ISLA DE BEJUCAL (120252),ISLA DE BEJUCAL (120252),ISLA DE BEJUCAL
SANTA LUCIA (091850),SANTA LUCIA (091850),SANTA LUCIA
CASCOL (131052),CASCOL (131052),CASCOL
*TONCHIGÜE (080167),*TONCHIGÜE (080167),*TONCHIGÜE (080167)
PUNGALA (060157),PUNGALA (060157),PUNGALA
SANTA FE DE GALAN (060758),SANTA FE DE GALAN (060758),SANTA FE DE GALAN
GARCIA MORENO (LLURIMAGUA) (100352),GARCIA MORENO (LLURIMAGUA) (100352),GARCIA MORENO (LLURIMAGUA)
JUAN BENIGNO VELA (180157),JUAN BENIGNO VELA (180157),JUAN BENIGNO VELA
SAN JOSE DEL TAMBO (TAMBOPAMBA) (020251),SAN JOSE DEL TAMBO (TAMBOPAMBA) (020251),SAN JOSE DEL TAMBO (TAMBOPAMBA)
REMIGIO CRESPO TORAL (GULAG) (010356),REMIGIO CRESPO TORAL (GULAG) (010356),REMIGIO CRESPO TORAL (GULAG)
GUANANDO (060751),GUANANDO (060751),GUANANDO
*PASCUALES (090154),*PASCUALES (090154),*PASCUALES (090154)
COPAL (140551),COPAL (140551),COPAL
MONTERREY (230251),MONTERREY (230251),MONTERREY
FUNDOCHAMBA (111551),FUNDOCHAMBA (111551),FUNDOCHAMBA
ESMERALDAS (RURAL) (080150),ESMERALDAS (RURAL) (080150),ESMERALDAS (RURAL)
GARCIA MORENO (CHUMAQUI) (180756),GARCIA MORENO (CHUMAQUI) (180756),GARCIA MORENO (CHUMAQUI)
CUMBAYA (170157),CUMBAYA (170157),CUMBAYA
EL CARMEN (URBANO) (130401),EL CARMEN (URBANO) (130401),EL CARMEN (URBANO)
SAN PLACIDO (130156),SAN PLACIDO (130156),SAN PLACIDO
*PIEDRAHITA (NOBOL) (090657),*PIEDRAHITA (NOBOL) (090657),*PIEDRAHITA (NOBOL) (090657)
SALATI (071153),SALATI (071153),SALATI
SANTA ISABEL (CHAGUARURCO) (010850),SANTA ISABEL (CHAGUARURCO) (010850),SANTA ISABEL (CHAGUARURCO)
CHINCA (080154),CHINCA (080154),CHINCA
PALMIRA (060652),PALMIRA (060652),PALMIRA
FACUNDO VELA (020151),FACUNDO VELA (020151),FACUNDO VELA
SAN RAFAEL (040255),SAN RAFAEL (040255),SAN RAFAEL
SABANILLA (091452),SABANILLA (091452),SABANILLA
SAN FRANCISCO DE ONZOLE (080258),SAN FRANCISCO DE ONZOLE (080258),SAN FRANCISCO DE ONZOLE
LIZARZABURU (060101),LIZARZABURU (060101),LIZARZABURU
RUMIPAMBA (220356),RUMIPAMBA (220356),RUMIPAMBA
SAN LUIS DE EL ACHO (CAB EN EL ACHO) (140554),SAN LUIS DE EL ACHO (CAB EN EL ACHO) (140554),SAN LUIS DE EL ACHO (CAB EN EL ACHO)
*AMALUZA (011251),*AMALUZA (011251),*AMALUZA (011251)
*QUINSALOMA (120751),*QUINSALOMA (120751),*QUINSALOMA (120751)
AYAPAMBA (070351),AYAPAMBA (070351),AYAPAMBA
ZHUD (030361),ZHUD (030361),ZHUD
PEDRO VICENTE MALDONADO (170850),PEDRO VICENTE MALDONADO (170850),PEDRO VICENTE MALDONADO
JUAN MONTALVO (050103),JUAN MONTALVO (050103),JUAN MONTALVO
LA VILLEGAS (230252),LA VILLEGAS (230252),LA VILLEGAS
CEVALLOS (180350),CEVALLOS (180350),CEVALLOS
EL ROSARIO (060701),EL ROSARIO (060701),EL ROSARIO
EL BATAN (010103),EL BATAN (010103),EL BATAN
LLACAO (010156),LLACAO (010156),LLACAO
TRIUNFO-DORADO (190752),TRIUNFO-DORADO (190752),TRIUNFO-DORADO
GENERAL ELOY ALFARO (SAN SEBASTIAN) (110801),GENERAL ELOY ALFARO (SAN SEBASTIAN) (110801),GENERAL ELOY ALFARO (SAN SEBASTIAN)
GUARE (120251),GUARE (120251),GUARE
MANUEL CORNEJO ASTORGA (TANDAPI) (170355),MANUEL CORNEJO ASTORGA (TANDAPI) (170355),MANUEL CORNEJO ASTORGA (TANDAPI)
BOYACA (130351),BOYACA (130351),BOYACA
BANIFE (090603),BANIFE (090603),BANIFE
MACHALILLA (131951),MACHALILLA (131951),MACHALILLA
PANGUINTZA (190753),PANGUINTZA (190753),PANGUINTZA
LA ESPERANZA (170451),LA ESPERANZA (170451),LA ESPERANZA
SAN JOSE DE ANCON (240156),SAN JOSE DE ANCON (240156),SAN JOSE DE ANCON
PILALO (050456),PILALO (050456),PILALO
SEVILLA DE ORO (011350),SEVILLA DE ORO (011350),SEVILLA DE ORO
ERNESTO SEMINARIO (091008),ERNESTO SEMINARIO (091008),ERNESTO SEMINARIO
*SÚA (CAB. EN LA BOCANA) (080164),*SÚA (CAB. EN LA BOCANA) (080164),*SÚA (CAB. EN LA BOCANA) (080164)
ITCHIMBIA (170113),ITCHIMBIA (170113),ITCHIMBIA
TAMBILLO (170356),TAMBILLO (170356),TAMBILLO
SAN LORENZO (080550),SAN LORENZO (080550),SAN LORENZO
SANTO DOMINGO DE ONZOLE (080259),SANTO DOMINGO DE ONZOLE (080259),SANTO DOMINGO DE ONZOLE
MONTALVO (180158),MONTALVO (180158),MONTALVO
*PALANDA (190255),*PALANDA (190255),*PALANDA (190255)
MONTE OLIVO (040253),MONTE OLIVO (040253),MONTE OLIVO
SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS) (111552),SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS) (111552),SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS)
QUITUMBE (170126),QUITUMBE (170126),QUITUMBE
PILLARO (URBANO) (180802),PILLARO (URBANO) (180802),PILLARO (URBANO)
SANTA MARIA DE HUIRIRIMA (220253),SANTA MARIA DE HUIRIRIMA (220253),SANTA MARIA DE HUIRIRIMA
LA CONCORDIA (230250),LA CONCORDIA (230250),LA CONCORDIA
ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA) (200152),ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA) (200152),ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA)
ARQUITECTO SIXTO DURAN BALLEN (131653),ARQUITECTO SIXTO DURAN BALLEN (131653),ARQUITECTO SIXTO DURAN BALLEN
LA VILLEGAS (080852),LA VILLEGAS (080852),LA VILLEGAS
YARUQUIES (060105),YARUQUIES (060105),YARUQUIES
TOACASO (050162),TOACASO (050162),TOACASO
TUNDAYME (190653),TUNDAYME (190653),TUNDAYME
SAN ISIDRO (040353),SAN ISIDRO (040353),SAN ISIDRO
HUACHI CHICO (180103),HUACHI CHICO (180103),HUACHI CHICO
*PALMAS (011252),*PALMAS (011252),*PALMAS (011252)
CHOROCOPTE (030352),CHOROCOPTE (030352),CHOROCOPTE
RIVERA (030157),RIVERA (030157),RIVERA
VIVA ALFARO (120510),VIVA ALFARO (120510),VIVA ALFARO
SAN ISIDRO DEL INCA (170129),SAN ISIDRO DEL INCA (170129),SAN ISIDRO DEL INCA
LA AURORA (SATÉLITE) (090602),LA AURORA (SATÉLITE) (090602),LA AURORA (SATÉLITE)
SIGSIG (010950),SIGSIG (010950),SIGSIG
CUSUBAMBA (050552),CUSUBAMBA (050552),CUSUBAMBA
STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA) (140357),STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA) (140357),STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA)
BAHIA DE CARAQUEZ (URBANO) (131401),BAHIA DE CARAQUEZ (URBANO) (131401),BAHIA DE CARAQUEZ (URBANO)
ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO) (900300),ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO) (900300),ZONA EN ESTUDIO: JUVAL (CAÑAR-CHIMBORAZO)
GUALEA (170161),GUALEA (170161),GUALEA
BOMBOIZA (140253),BOMBOIZA (140253),BOMBOIZA
PUERTO FRANCISCO DE ORELLANA (EL COCA) (220150),PUERTO FRANCISCO DE ORELLANA (EL COCA) (220150),PUERTO FRANCISCO DE ORELLANA (EL COCA)
MARISCAL SUCRE (040651),MARISCAL SUCRE (040651),MARISCAL SUCRE
SAN PEDRO DE TABOADA (170502),SAN PEDRO DE TABOADA (170502),SAN PEDRO DE TABOADA
PIEDRAS (071054),PIEDRAS (071054),PIEDRAS
ZUMBAHUA (050458),ZUMBAHUA (050458),ZUMBAHUA
CARANQUI (100101),CARANQUI (100101),CARANQUI
SIMON BOLIVAR (CAB. EN GAÑANZOL) (010360),SIMON BOLIVAR (CAB. EN GAÑANZOL) (010360),SIMON BOLIVAR (CAB. EN GAÑANZOL)
ZAMORA (190102),ZAMORA (190102),ZAMORA
BELLAVISTA (131651),BELLAVISTA (131651),BELLAVISTA
*CHUMUNDÉ (080156),*CHUMUNDÉ (080156),*CHUMUNDÉ (080156)
LOURDES (110902),LOURDES (110902),LOURDES
CASANGA (110958),CASANGA (110958),CASANGA
CHICAN (GUILLERMO ORTEGA) (010553),CHICAN (GUILLERMO ORTEGA) (010553),CHICAN (GUILLERMO ORTEGA)
SAN BARTOLOME DE PINLLOG (180163),SAN BARTOLOME DE PINLLOG (180163),SAN BARTOLOME DE PINLLOG
CALCETA (130250),CALCETA (130250),CALCETA
CUMANDA (061050),CUMANDA (061050),CUMANDA
LA VICTORIA (ÑAUZA) (091952),LA VICTORIA (ÑAUZA) (091952),LA VICTORIA (ÑAUZA)
CHONE (URBANO) (130301),CHONE (URBANO) (130301),CHONE (URBANO)
SAN ISIDRO (140156),SAN ISIDRO (140156),SAN ISIDRO
*PUERTO QUITO (170753),*PUERTO QUITO (170753),*PUERTO QUITO (170753)
CHACARITA (120753),CHACARITA (120753),CHACARITA
TAISHA (140950),TAISHA (140950),TAISHA
EL INGENIO (070851),EL INGENIO (070851),EL INGENIO
SUCUA (140650),SUCUA (140650),SUCUA
BOLIVAR (180752),BOLIVAR (180752),BOLIVAR
BARRAGANETE (131151),BARRAGANETE (131151),BARRAGANETE
SALINAS (240350),SALINAS (240350),SALINAS
BABA (120250),BABA (120250),BABA
CUMBE (010152),CUMBE (010152),CUMBE
PUENGASI (170125),PUENGASI (170125),PUENGASI
MOCACHE (121250),MOCACHE (121250),MOCACHE
SAN JUAN (120452),SAN JUAN (120452),SAN JUAN
CHIQUINTAD (010155),CHIQUINTAD (010155),CHIQUINTAD
APUELA (100351),APUELA (100351),APUELA
VENUS DEL RIO QUEVEDO (120509),VENUS DEL RIO QUEVEDO (120509),VENUS DEL RIO QUEVEDO
EL TRIUNFO (180551),EL TRIUNFO (180551),EL TRIUNFO
CUENCA (010150),CUENCA (010150),CUENCA
SAN BARTOLO (170128),SAN BARTOLO (170128),SAN BARTOLO
SAN JOSE DE MINAS (170181),SAN JOSE DE MINAS (170181),SAN JOSE DE MINAS
SAN ANDRES (180855),SAN ANDRES (180855),SAN ANDRES
CRUCITA (130153),CRUCITA (130153),CRUCITA
SANTA RITA (130302),SANTA RITA (130302),SANTA RITA
CHILE (110202),CHILE (110202),CHILE
MERCEDES MOLINA (140202),MERCEDES MOLINA (140202),MERCEDES MOLINA
JAMBELI (071252),JAMBELI (071252),JAMBELI
SAN JOSE DE GUAYUSA (220160),SAN JOSE DE GUAYUSA (220160),SAN JOSE DE GUAYUSA
SUCRE (131650),SUCRE (131650),SUCRE
*CHONGÓN (090151),*CHONGÓN (090151),*CHONGÓN (090151)
NARANJITO (091250),NARANJITO (091250),NARANJITO
CUBE (080451),CUBE (080451),CUBE
ENOKANQUI (220351),ENOKANQUI (220351),ENOKANQUI
LAS NAVES (020750),LAS NAVES (020750),LAS NAVES
SAN RAFAEL DE SHARUG (010652),SAN RAFAEL DE SHARUG (010652),SAN RAFAEL DE SHARUG
GONZANAMA (110750),GONZANAMA (110750),GONZANAMA
SAN ANTONIO (CAB EN SAN ANTONIO CENTRO) (140353),SAN ANTONIO (CAB EN SAN ANTONIO CENTRO) (140353),SAN ANTONIO (CAB EN SAN ANTONIO CENTRO)
NARANJAL (091150),NARANJAL (091150),NARANJAL
PELILEO (RURAL) (180750),PELILEO (RURAL) (180750),PELILEO (RURAL)
GUANGOPOLO (170162),GUANGOPOLO (170162),GUANGOPOLO
COMPUD (060552),COMPUD (060552),COMPUD
LA MATRIZ (071001),LA MATRIZ (071001),LA MATRIZ
SAN ANTONIO (110957),SAN ANTONIO (110957),SAN ANTONIO
PUELA (060953),PUELA (060953),PUELA
PERUCHO (170174),PERUCHO (170174),PERUCHO
PUYO (160150),PUYO (160150),PUYO
PUERTO NAPO (150156),PUERTO NAPO (150156),PUERTO NAPO
*LORETO (150353),*LORETO (150353),*LORETO (150353)
VILCABAMBA (VICTORIA) (110161),VILCABAMBA (VICTORIA) (110161),VILCABAMBA (VICTORIA)
*MACUMA (140155),*MACUMA (140155),*MACUMA (140155)
SIMIATUG (020159),SIMIATUG (020159),SIMIATUG
QUEVEDO (RURAL) (120550),QUEVEDO (RURAL) (120550),QUEVEDO (RURAL)
*SANTA ROSA DE SUCUMBÍOS (210255),*SANTA ROSA DE SUCUMBÍOS (210255),*SANTA ROSA DE SUCUMBÍOS (210255)
DANIEL CORDOVA TORAL (EL ORIENTE) (010352),DANIEL CORDOVA TORAL (EL ORIENTE) (010352),DANIEL CORDOVA TORAL (EL ORIENTE)
SAN BUENAVENTURA (050105),SAN BUENAVENTURA (050105),SAN BUENAVENTURA
MILAGRO (091050),MILAGRO (091050),MILAGRO
EL TRIUNFO (160166),EL TRIUNFO (160166),EL TRIUNFO
LAS PAMPAS (050753),LAS PAMPAS (050753),LAS PAMPAS
SELVA ALEGRE (111158),SELVA ALEGRE (111158),SELVA ALEGRE
*OLMEDO (131354),*OLMEDO (131354),*OLMEDO (131354)
*AGUAS NEGRAS (210159),*AGUAS NEGRAS (210159),*AGUAS NEGRAS (210159)
DUCUR (030363),DUCUR (030363),DUCUR
EL PANGUI (190650),EL PANGUI (190650),EL PANGUI
SALASACA (180758),SALASACA (180758),SALASACA
*CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO) (010651),*CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO) (010651),*CAMILO PONCE ENRÍQUEZ (CAB. EN RÍO 7 DE MOLLEPONGO) (010651)
LLIGUA (180251),LLIGUA (180251),LLIGUA
SAN SEBASTIAN (010111),SAN SEBASTIAN (010111),SAN SEBASTIAN
SAN JOSE (040502),SAN JOSE (040502),SAN JOSE
DAULE (080352),DAULE (080352),DAULE
SANTA ROSA (240304),SANTA ROSA (240304),SANTA ROSA
CHIRIJOS (130157),CHIRIJOS (130157),CHIRIJOS
SAN SIMON (YACOTO) (020157),SAN SIMON (YACOTO) (020157),SAN SIMON (YACOTO)
SAN JOSE (160351),SAN JOSE (160351),SAN JOSE
RICAURTE (130356),RICAURTE (130356),RICAURTE
LA UNION (131353),LA UNION (131353),LA UNION
NICOLAS INFANTE DIAZ (120505),NICOLAS INFANTE DIAZ (120505),NICOLAS INFANTE DIAZ
MONTERREY (080851),MONTERREY (080851),MONTERREY
PASA (180159),PASA (180159),PASA
PUERTO MURIALDO (220452),PUERTO MURIALDO (220452),PUERTO MURIALDO
INGAPIRCA (030356),INGAPIRCA (030356),INGAPIRCA
LA ARGELIA (170116),LA ARGELIA (170116),LA ARGELIA
ALAMOR (111050),ALAMOR (111050),ALAMOR
SAN JOSE DE MORONA (141251),SAN JOSE DE MORONA (141251),SAN JOSE DE MORONA
EL SAGRARIO (010104),EL SAGRARIO (010104),EL SAGRARIO
LA UNION (130654),LA UNION (130654),LA UNION
MILAGRO (070353),MILAGRO (070353),MILAGRO
ANCHAYACU (080251),ANCHAYACU (080251),ANCHAYACU
CHURA (CHANCAMA) (CAB. EN EL YERBERO) (080452),CHURA (CHANCAMA) (CAB. EN EL YERBERO) (080452),CHURA (CHANCAMA) (CAB. EN EL YERBERO)
TARQUI (090112),TARQUI (090112),TARQUI
GUALE (131053),GUALE (131053),GUALE
RIO CORRIENTES (160158),RIO CORRIENTES (160158),RIO CORRIENTES
*SAN MIGUEL DE LOS BANCOS (170182),*SAN MIGUEL DE LOS BANCOS (170182),*SAN MIGUEL DE LOS BANCOS (170182)
PUEMBO (170179),PUEMBO (170179),PUEMBO
LINARES (150452),LINARES (150452),LINARES
JIPIJAPA (130650),JIPIJAPA (130650),JIPIJAPA
PINLLOPATA (050352),PINLLOPATA (050352),PINLLOPATA
LARAMA (110851),LARAMA (110851),LARAMA
NANEGALITO (170169),NANEGALITO (170169),NANEGALITO
YASUNI (220255),YASUNI (220255),YASUNI
SEVILLA DON BOSCO (140157),SEVILLA DON BOSCO (140157),SEVILLA DON BOSCO
PISHILATA (180108),PISHILATA (180108),PISHILATA
EL ANGEL (URBANO) (040301),EL ANGEL (URBANO) (040301),EL ANGEL (URBANO)
MONTALVO (CAB EN HORQUETA) (080754),MONTALVO (CAB EN HORQUETA) (080754),MONTALVO (CAB EN HORQUETA)
ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS) (900200),ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS) (900200),ZONA EN ESTUDIO: EL PIEDRERO (CAÑAR- GUAYAS)
SANTA ELENA (210354),SANTA ELENA (210354),SANTA ELENA
HUAMBOYA (140750),HUAMBOYA (140750),HUAMBOYA
TOMEBAMBA (010561),TOMEBAMBA (010561),TOMEBAMBA
POMASQUI (170177),POMASQUI (170177),POMASQUI
LA PENINSULA (180106),LA PENINSULA (180106),LA PENINSULA
BELLA VISTA (200353),BELLA VISTA (200353),BELLA VISTA
PILLARO (RURAL) (180850),PILLARO (RURAL) (180850),PILLARO (RURAL)
CACHA (CAB. EN MACHANGARA) (060151),CACHA (CAB. EN MACHANGARA) (060151),CACHA (CAB. EN MACHANGARA)
LA SOFIA (210552),LA SOFIA (210552),LA SOFIA
EL RECREO (090702),EL RECREO (090702),EL RECREO
GENERAL VERNAZA (DOS ESTEROS) (091951),GENERAL VERNAZA (DOS ESTEROS) (091951),GENERAL VERNAZA (DOS ESTEROS)
11 DE OCTUBRE (121003),11 DE OCTUBRE (121003),11 DE OCTUBRE
ANGOCHAGUA (100152),ANGOCHAGUA (100152),ANGOCHAGUA
EL ARENAL (111052),EL ARENAL (111052),EL ARENAL
PICHINCHA (131150),PICHINCHA (131150),PICHINCHA
CANGAHUA (170252),CANGAHUA (170252),CANGAHUA
SANGAY (CAB EN NAYAMANACA) (140454),SANGAY (CAB EN NAYAMANACA) (140454),SANGAY (CAB EN NAYAMANACA)
HUAQUILLAS (070750),HUAQUILLAS (070750),HUAQUILLAS
EMILIO MARIA TERAN (RUMIPAMBA) (180852),EMILIO MARIA TERAN (RUMIPAMBA) (180852),EMILIO MARIA TERAN (RUMIPAMBA)
DAULE (RURAL) (090650),DAULE (RURAL) (090650),DAULE (RURAL)
ANIBAL SAN ANDRES (130901),ANIBAL SAN ANDRES (130901),ANIBAL SAN ANDRES
TIMBARA (190156),TIMBARA (190156),TIMBARA
LEONIDAS PROAÑO (130904),LEONIDAS PROAÑO (130904),LEONIDAS PROAÑO
CORONEL ENRIQUE VALDEZ (091004),CORONEL ENRIQUE VALDEZ (091004),CORONEL ENRIQUE VALDEZ
MERA (160250),MERA (160250),MERA
PUNA (090157),PUNA (090157),PUNA
PUEBLO NUEVO (130154),PUEBLO NUEVO (130154),PUEBLO NUEVO
SAN FRANCISCO (180109),SAN FRANCISCO (180109),SAN FRANCISCO
JORDAN (100401),JORDAN (100401),JORDAN
